,event,gid,layer,cell,x,y,r,phi,trackIndex,centerX,centerY,radius,momx,momy,momz,chargeParticle,flightLength,currentTrackPID,rawDriftTime,creatorProcessturnID,isScondary
76,39,3310,28,194,45.70145,-26.23255,52.69505870197888,-0.5210810739886058,8,-139.85,-367.2,385.866,1016.14,-552.842,-848.231,1,652.632,211,59.819,Decay,0
31,39,3375,29,51,7.756715,53.68765,54.245095539723444,1.427310633698707,9,86.3359,15.2877,87.2587,115.643,234.646,-83.1757,-1,588.294,-211,272.997,Decay,0
30,39,3376,29,52,6.131650000000001,53.89745,54.24511266671865,1.4575182297035227,9,86.4965,15.6141,87.2615,113.402,235.746,-83.1596,-1,578.062,-211,389.118,Decay,0
126,39,3396,29,72,-25.57095,47.8399,54.24508748184024,2.061670027835617,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,824.692,,-9999
77,39,3518,29,194,46.63255,-27.711650000000002,54.24509438857121,-0.5361849073726601,8,-137.032,-368.738,385.878,1018.69,-548.21,-848.173,1,677.675,211,278.509,Decay,0
32,39,3583,30,51,7.151064,55.39505,55.85471583344235,1.4424142258081714,9,86.3107,15.2649,87.2455,119.216,232.806,-83.2686,-1,606.352,-211,174.255,Decay,0
33,39,3791,31,51,8.219899999999999,56.89345,57.48418398927222,1.427310365207642,9,86.3374,15.3442,87.234,123.803,230.361,-83.3666,-1,625.025,-211,61.4888,Decay,0
127,39,3826,31,86,-45.51705,35.108850000000004,57.48419947276817,2.4845769850501136,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,111.268,,-9999
78,39,3935,31,195,50.281499999999994,-27.86045,57.484205799963,-0.5059775012726501,8,-131.084,-371.895,385.869,1023.36,-539.394,-848.199,1,721.198,211,213.706,Decay,0
34,39,3996,32,48,11.151575000000001,58.04575,59.10724759319389,1.3809919428216764,9,86.3724,15.4293,87.2262,127.938,228.064,-83.4451,-1,639.384,-211,98.3104,Decay,0
79,39,4160,32,212,48.49165,-33.7968,59.107222993154565,-0.6086836081853724,8,-128.317,-373.352,385.875,1025.57,-535.207,-848.174,1,739.801,211,167.055,Decay,0
35,39,4236,33,48,12.214820000000001,59.3744,60.61782908511654,1.3679017202135368,9,86.357,15.415,87.2188,132.338,225.512,-83.4882,-1,658.842,-211,37.952,Decay,0
128,39,4280,33,92,-49.272999999999996,35.30855,60.61783757362596,2.5198188725292296,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,3.19493,,-9999
